?cls	?xref
<http://purl.obolibrary.org/obo/UBERON_0002081>	"TAO:0000471"
<http://purl.obolibrary.org/obo/UBERON_0002081>	"EV:0100019"
<http://purl.obolibrary.org/obo/UBERON_0002081>	"UMLS:C0018792"
<http://purl.obolibrary.org/obo/UBERON_0002081>	"MAT:0000496"
<http://purl.obolibrary.org/obo/UBERON_0002081>	"AAO:0010246"
<http://purl.obolibrary.org/obo/UBERON_0002081>	"ZFA:0000471"
<http://purl.obolibrary.org/obo/UBERON_0002081>	"EFO:0000277"
<http://purl.obolibrary.org/obo/UBERON_0002081>	"FMA:7099"
<http://purl.obolibrary.org/obo/UBERON_0002081>	"galen:Atrium"
<http://purl.obolibrary.org/obo/UBERON_0002081>	"Wikipedia:Heart_atrium"
<http://purl.obolibrary.org/obo/UBERON_0002081>	"EMAPA:16688"
<http://purl.obolibrary.org/obo/UBERON_0002081>	"BTO:0000903"
<http://purl.obolibrary.org/obo/UBERON_0002081>	"EHDAA:1265"
<http://purl.obolibrary.org/obo/UBERON_0002081>	"NCIT:C12728"
<http://purl.obolibrary.org/obo/UBERON_0002081>	"CALOHA:TS-0437"
<http://purl.obolibrary.org/obo/UBERON_0003613>	"MA:0002857"
<http://purl.obolibrary.org/obo/UBERON_0003566>	"EMAPA:16098"
<http://purl.obolibrary.org/obo/UBERON_0003566>	"MA:0000577"
<http://purl.obolibrary.org/obo/UBERON_0000371>	"Wikipedia:Syncytiotrophoblast"
<http://purl.obolibrary.org/obo/UBERON_0000371>	"FMA:83040"
<http://purl.obolibrary.org/obo/UBERON_0000371>	"NCIT:C33918"
<http://purl.obolibrary.org/obo/UBERON_0000371>	"SCTID:256965005"
<http://purl.obolibrary.org/obo/UBERON_0000371>	"BTO:0001335"
<http://purl.obolibrary.org/obo/UBERON_0000371>	"EHDAA:129"
<http://purl.obolibrary.org/obo/UBERON_0000371>	"UMLS:C1135936"
<http://purl.obolibrary.org/obo/UBERON_0000371>	"EMAPA:16068"
<http://purl.obolibrary.org/obo/UBERON_0000371>	"EHDAA:91"
<http://purl.obolibrary.org/obo/UBERON_0005946>	"FMA:14141"
<http://purl.obolibrary.org/obo/UBERON_0001207>	"CALOHA:TS-2106"
<http://purl.obolibrary.org/obo/UBERON_0001207>	"FMA:14969"
<http://purl.obolibrary.org/obo/UBERON_0001207>	"UMLS:C0734203"
<http://purl.obolibrary.org/obo/UBERON_0001207>	"NCIT:C32926"
<http://purl.obolibrary.org/obo/UBERON_0001207>	"MA:0002688"
<http://purl.obolibrary.org/obo/UBERON_0001207>	"EMAPA:35467"
<http://purl.obolibrary.org/obo/UBERON_0000072>	"EMAPA:16737"
<http://purl.obolibrary.org/obo/UBERON_0000072>	"FMA:45660"
<http://purl.obolibrary.org/obo/UBERON_0000072>	"MA:0000434"
<http://purl.obolibrary.org/obo/UBERON_0000993>	"XAO:0003052"
<http://purl.obolibrary.org/obo/UBERON_0000993>	"MAT:0000126"
<http://purl.obolibrary.org/obo/UBERON_0000993>	"EMAPA:18984"
<http://purl.obolibrary.org/obo/UBERON_0000993>	"AAO:0010533"
<http://purl.obolibrary.org/obo/UBERON_0000993>	"ZFA:0000560"
<http://purl.obolibrary.org/obo/UBERON_0000993>	"MIAA:0000126"
<http://purl.obolibrary.org/obo/UBERON_0000993>	"BTO:0000980"
<http://purl.obolibrary.org/obo/UBERON_0000993>	"EFO:0000974"
<http://purl.obolibrary.org/obo/UBERON_0000993>	"Wikipedia:Oviduct"
<http://purl.obolibrary.org/obo/UBERON_0000993>	"TAO:0000560"
<http://purl.obolibrary.org/obo/UBERON_0000993>	"UMLS:C0029954"
<http://purl.obolibrary.org/obo/UBERON_0000993>	"BSA:0000083"
<http://purl.obolibrary.org/obo/UBERON_0000993>	"NCIT:C77957"
<http://purl.obolibrary.org/obo/UBERON_0000993>	"MESH:D010057"
<http://purl.obolibrary.org/obo/UBERON_0000993>	"GAID:366"
<http://purl.obolibrary.org/obo/UBERON_0000993>	"VHOG:0001136"
<http://purl.obolibrary.org/obo/UBERON_0006925>	"BTO:0000345"
<http://purl.obolibrary.org/obo/UBERON_0006925>	"AAO:0000130"
<http://purl.obolibrary.org/obo/UBERON_0012466>	"VHOG:0000767"
<http://purl.obolibrary.org/obo/UBERON_0012466>	"EMAPA:16054"
<http://purl.obolibrary.org/obo/UBERON_0012466>	"EHDAA2:0000472"
<http://purl.obolibrary.org/obo/PR_000001971>	"PIRSF:PIRSF038502"
<http://purl.obolibrary.org/obo/UBERON_0013756>	"FMA:83067"
<http://purl.obolibrary.org/obo/UBERON_0013756>	"BTO:0006187"
<http://purl.obolibrary.org/obo/UBERON_0002394>	"EMAPA:35171"
<http://purl.obolibrary.org/obo/UBERON_0002394>	"CALOHA:TS-0075"
<http://purl.obolibrary.org/obo/UBERON_0002394>	"ZFA:0001100"
<http://purl.obolibrary.org/obo/UBERON_0002394>	"BTO:0000122"
<http://purl.obolibrary.org/obo/UBERON_0002394>	"TAO:0001100"
<http://purl.obolibrary.org/obo/UBERON_0002394>	"AAO:0011019"
<http://purl.obolibrary.org/obo/UBERON_0002394>	"EV:0100091"
<http://purl.obolibrary.org/obo/UBERON_0002394>	"FMA:9706"
<http://purl.obolibrary.org/obo/UBERON_0002394>	"SCTID:276157007"
<http://purl.obolibrary.org/obo/UBERON_0002394>	"EHDAA2:0000741"
<http://purl.obolibrary.org/obo/UBERON_0002394>	"GAID:280"
<http://purl.obolibrary.org/obo/UBERON_0002394>	"MESH:D001652"
<http://purl.obolibrary.org/obo/UBERON_0002394>	"Wikipedia:Bile_duct"
<http://purl.obolibrary.org/obo/UBERON_0002394>	"UMLS:C0005400"
<http://purl.obolibrary.org/obo/UBERON_0002394>	"XAO:0000134"
<http://purl.obolibrary.org/obo/UBERON_0002394>	"NCIT:C12376"
<http://purl.obolibrary.org/obo/UBERON_0002394>	"VHOG:0000212"
<http://purl.obolibrary.org/obo/UBERON_0002394>	"MA:0000354"
<http://purl.obolibrary.org/obo/UBERON_0003489>	"MA:0001808"
<http://purl.obolibrary.org/obo/UBERON_0003489>	"EMAPA:37575"
<http://purl.obolibrary.org/obo/CL_0000082>	"BTO:0004299"
<http://purl.obolibrary.org/obo/GO_0005277>	"Reactome:R-HSA-264615"
<http://purl.obolibrary.org/obo/CHEBI_72813>	"PMID:16075348"
<http://purl.obolibrary.org/obo/CHEBI_72813>	"PMID:20172021"
<http://purl.obolibrary.org/obo/CHEBI_72813>	"PMID:17440912"
<http://purl.obolibrary.org/obo/CHEBI_72813>	"PMID:11785425"
<http://purl.obolibrary.org/obo/CHEBI_72813>	"Wikipedia:Extracellular_polymeric_substance"
<http://purl.obolibrary.org/obo/CHEBI_72813>	"PMID:20718297"
<http://purl.obolibrary.org/obo/CHEBI_72813>	"PMID:18097339"
<http://purl.obolibrary.org/obo/CHEBI_72813>	"PMID:6354590"
<http://purl.obolibrary.org/obo/CHEBI_72813>	"PMID:1444258"
<http://purl.obolibrary.org/obo/CHEBI_72813>	"PMID:2688547"
<http://purl.obolibrary.org/obo/CHEBI_72813>	"MetaCyc:Exopolysaccharides"
<http://purl.obolibrary.org/obo/CHEBI_72813>	"PMID:19453747"
<http://purl.obolibrary.org/obo/CHEBI_72813>	"Wikipedia:Exopolysaccharide"
