?cls	?pred	?val	?synType
<http://purl.obolibrary.org/obo/GO_0035834>	<http://www.w3.org/2000/01/rdf-schema#label>	"indole alkaloid metabolic process"	
<http://purl.obolibrary.org/obo/GO_0045224>	<http://www.w3.org/2000/01/rdf-schema#label>	"positive regulation of CD4 production"	
<http://purl.obolibrary.org/obo/GO_1904830>	<http://www.w3.org/2000/01/rdf-schema#label>	"negative regulation of aortic smooth muscle cell differentiation"	
<http://purl.obolibrary.org/obo/GO_0098794>	<http://www.w3.org/2000/01/rdf-schema#label>	"postsynapse"	
<http://purl.obolibrary.org/obo/UBERON_0013756>	<http://www.w3.org/2000/01/rdf-schema#label>	"venous blood"	
<http://purl.obolibrary.org/obo/GO_0072134>	<http://www.w3.org/2000/01/rdf-schema#label>	"nephrogenic mesenchyme morphogenesis"	
<http://purl.obolibrary.org/obo/GO_0060995>	<http://www.w3.org/2000/01/rdf-schema#label>	"cell-cell signaling involved in kidney development"	
<http://purl.obolibrary.org/obo/GO_0043525>	<http://www.w3.org/2000/01/rdf-schema#label>	"positive regulation of neuron apoptotic process"	
<http://purl.obolibrary.org/obo/NBO_0001786>	<http://www.w3.org/2000/01/rdf-schema#label>	"regulation of behavior"@en	
<http://purl.obolibrary.org/obo/UBERON_0002394>	<http://www.w3.org/2000/01/rdf-schema#label>	"bile duct"	
<http://purl.obolibrary.org/obo/UBERON_0003489>	<http://www.w3.org/2000/01/rdf-schema#label>	"respiratory system capillary endothelium"	
<http://purl.obolibrary.org/obo/CL_0000082>	<http://www.w3.org/2000/01/rdf-schema#label>	"epithelial cell of lung"	
<http://purl.obolibrary.org/obo/GO_1905939>	<http://www.w3.org/2000/01/rdf-schema#label>	"regulation of gonad development"	
<http://purl.obolibrary.org/obo/GO_0051151>	<http://www.w3.org/2000/01/rdf-schema#label>	"negative regulation of smooth muscle cell differentiation"	
<http://purl.obolibrary.org/obo/GO_0002366>	<http://www.w3.org/2000/01/rdf-schema#label>	"leukocyte activation involved in immune response"	
<http://purl.obolibrary.org/obo/CHEBI_36359>	<http://www.w3.org/2000/01/rdf-schema#label>	"phosphorus oxoacid derivative"	
<http://purl.obolibrary.org/obo/CL_0000347>	<http://www.w3.org/2000/01/rdf-schema#label>	"scleral cell"	
